{'onsetDet': 3.9319999999999999, 'onsetNoun': 4.0549999999999997, 'hasQuestion': 1, 'Question': 'Gaat Zwarte Piet door de schoorsteen naar binnen?', 'relatedness': 'unrelated', 'trialIndex': 4, 'offsetNoun': 4.5199999999999996, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 155, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_155_unrelated', 'totalLen': 6.3849999999999998, 'trigDet': 12}	112.897087097	endSentence
{'onsetDet': 4.1150000000000002, 'onsetNoun': 4.3419999999999996, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 5, 'offsetNoun': 4.6680000000000001, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 74, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_74_unrelated', 'totalLen': 5.4450000000000003, 'trigDet': 22}	121.63816309	sentStart
{'onsetDet': 4.1150000000000002, 'onsetNoun': 4.3419999999999996, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 5, 'offsetNoun': 4.6680000000000001, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 74, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_74_unrelated', 'totalLen': 5.4450000000000003, 'trigDet': 22}	125.761030197	onsetDet	22
{'onsetDet': 4.1150000000000002, 'onsetNoun': 4.3419999999999996, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 5, 'offsetNoun': 4.6680000000000001, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 74, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_74_unrelated', 'totalLen': 5.4450000000000003, 'trigDet': 22}	125.99747014	onsetNoun
{'onsetDet': 4.1150000000000002, 'onsetNoun': 4.3419999999999996, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 5, 'offsetNoun': 4.6680000000000001, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 74, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_74_unrelated', 'totalLen': 5.4450000000000003, 'trigDet': 22}	130.448003054	offsetNoun	229
{'onsetDet': 4.1150000000000002, 'onsetNoun': 4.3419999999999996, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 5, 'offsetNoun': 4.6680000000000001, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 74, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_74_unrelated', 'totalLen': 5.4450000000000003, 'trigDet': 22}	131.460653067	endSentence
{'onsetDet': 1.8659999999999999, 'onsetNoun': 1.982, 'hasQuestion': 1, 'Question': 'Werkt de lift bij brand?', 'relatedness': 'unrelated', 'trialIndex': 6, 'offsetNoun': 2.1539999999999999, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 145, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_145_unrelated', 'totalLen': 3.117, 'trigDet': 12}	132.656018972	sentStart
{'onsetDet': 1.8659999999999999, 'onsetNoun': 1.982, 'hasQuestion': 1, 'Question': 'Werkt de lift bij brand?', 'relatedness': 'unrelated', 'trialIndex': 6, 'offsetNoun': 2.1539999999999999, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 145, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_145_unrelated', 'totalLen': 3.117, 'trigDet': 12}	134.531650066	onsetDet	12
{'onsetDet': 1.8659999999999999, 'onsetNoun': 1.982, 'hasQuestion': 1, 'Question': 'Werkt de lift bij brand?', 'relatedness': 'unrelated', 'trialIndex': 6, 'offsetNoun': 2.1539999999999999, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 145, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_145_unrelated', 'totalLen': 3.117, 'trigDet': 12}	134.65606308	onsetNoun
{'onsetDet': 1.8659999999999999, 'onsetNoun': 1.982, 'hasQuestion': 1, 'Question': 'Werkt de lift bij brand?', 'relatedness': 'unrelated', 'trialIndex': 6, 'offsetNoun': 2.1539999999999999, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 145, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_145_unrelated', 'totalLen': 3.117, 'trigDet': 12}	136.703605175	offsetNoun	129
