screenMode,seed,subjCode,breakEvery,useParallel,Question,compLower,filename,hasQuestion,newWord1,newWord2,offsetNoun,onsetDet,onsetNoun,part,relatedness,sentID,speaker,totalLen,trigDet,trigOffsetNoun,unrelOppositeGender,waitForDetOffset,waitForEnd,waitForNounOffset,yesOrNo,trialIndex,expTimer,whichPart,trialIndex,response,isRight,rt
fs,10,01M32,30,yes,Heb je de bus gehaald?,de auto,nonNat_146_unrelated,1,,,4.413,3.372,3.606,experiment,unrelated,146,nonNat,5.276,22,229,het taxibedrijf,0.234,0.863,0.807,0,78,1286.545909,experiment,77,z,1,1986.128363
fs,10,01M32,30,yes,Ging de zin over de maand december?,het jaar,Nat_75_unrelated,1,,,2.04,1.607,1.723,experiment,unrelated,75,Nat,3.849,12,129,de winter,0.116,1.809,0.317,1,79,1298.033547,experiment,78,slash,1,2820.150774
fs,10,01M32,30,yes,,de fiets,nonNat_4_related,0,,,3.8,3.11,3.26,experiment,related,4,nonNat,5.783,21,219,het paard,0.15,1.983,0.54,nan,80,1308.692889,experiment,79,-99,-99,-99000
fs,10,01M32,30,yes,Heeft de werknemer zijn contract getekend voordat er onderhandeld werd?,het contract,Nat_111_unrelated,1,,,2.739,2.253,2.471,experiment,unrelated,111,Nat,4.015,12,129,de brief,0.218,1.276,0.268,0,81,1321.169141,experiment,80,z,1,3646.314778
fs,10,01M32,30,yes,,de tuinman,Nat_106_related,0,,,4.929,4.344,4.524,experiment,related,106,Nat,6.113,11,119,het hulpje,0.18,1.184,0.405,nan,82,1332.083793,experiment,81,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_351_control,0,vrijwilliger,Nederland,1.445,0.246,0.6,experiment,control,351,nonNat,5.252,55,155,,0.354,3.807,0.845,nan,83,1342.126188,experiment,82,-99,-99,-99000
fs,10,01M32,30,yes,,het zeil,Nat_137_unrelated,0,,,4.3,3.884,3.991,experiment,unrelated,137,Nat,4.938,12,129,de smiezen,0.107,0.638,0.309,nan,84,1351.866528,experiment,83,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_342_control,0,autoriteiten,maatregel,7.471,7.038,7.297,experiment,control,342,nonNat,8.19,55,155,,0.259,0.719,0.174,nan,85,1364.852092,experiment,84,-99,-99,-99000
fs,10,01M32,30,yes,Komt Zwarte Piet door het raam naar binnen?,de schoorsteen,Nat_155_unrelated,1,,,4.52,3.932,4.055,experiment,unrelated,155,Nat,6.385,12,129,het gangpad,0.123,1.865,0.465,0,86,1377.791727,experiment,85,z,1,1723.800697
fs,10,01M32,30,yes,,de kapstok,nonNat_57_related,0,,,3.07,2.401,2.603,experiment,related,57,nonNat,3.566,21,219,het haakje,0.202,0.496,0.467,nan,87,1386.142937,experiment,86,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_356_control,0,Nederland,psychologie,1.979,1.149,1.344,experiment,control,356,nonNat,4.958,55,155,,0.195,2.979,0.635,nan,88,1395.902315,experiment,87,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_314_control,0,leerlingen,huiswerk,7.395,6.658,6.924,experiment,control,314,Nat,7.402,55,155,,0.266,0.007,0.471,nan,89,1408.096783,experiment,88,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_328_control,0,documenten,kwijtraakt,3.277,2.806,2.934,experiment,control,328,Nat,5.552,55,155,,0.128,2.275,0.343,nan,90,1418.453226,experiment,89,-99,-99,-99000
fs,10,01M32,30,yes,,het schoolplein,Nat_27_related,0,,,3.314,2.638,2.746,experiment,related,27,Nat,4.408,11,119,de stoep,0.108,1.094,0.568,nan,91,1524.71535,experiment,90,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_321_control,0,week,lessen,1.245,0.587,0.778,experiment,control,321,Nat,4.136,55,155,,0.191,2.891,0.467,nan,92,1533.645723,experiment,91,-99,-99,-99000
fs,10,01M32,30,yes,,de krant,nonNat_16_unrelated,0,,,2.982,2.451,2.598,experiment,unrelated,16,nonNat,4.806,22,229,het nieuws,0.147,1.824,0.384,nan,93,1543.251109,experiment,92,-99,-99,-99000
fs,10,01M32,30,yes,Ging de zin een lastdier dat in de woestijn leeft?,de kameel,nonNat_85_related,1,,,3.998,3.415,3.563,experiment,related,85,nonNat,5.028,21,219,het trekpaard,0.148,1.03,0.435,1,94,1559.86729,experiment,93,slash,1,6760.528828
fs,10,01M32,30,yes,,de balk,Nat_95_related,0,,,4.217,3.704,3.798,experiment,related,95,Nat,5.141,11,119,het hout,0.094,0.924,0.419,nan,95,1569.802137,experiment,94,-99,-99,-99000
fs,10,01M32,30,yes,,de gordijnen,Nat_46_related,0,,,3.85,3.299,3.394,experiment,related,46,Nat,4.315,11,119,het luik,0.095,0.465,0.456,nan,96,1578.911498,experiment,95,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_316_control,0,amateurs,stunt,4.114,3.541,3.686,experiment,control,316,Nat,4.12,55,155,,0.145,0.006,0.428,nan,97,1587.831845,experiment,96,-99,-99,-99000
fs,10,01M32,30,yes,,de mouw,Nat_94_related,0,,,4.632,4.12,4.249,experiment,related,94,Nat,7.685,11,119,het vest,0.129,3.053,0.383,nan,98,1600.314347,experiment,97,-99,-99,-99000
fs,10,01M32,30,yes,,de trein,Nat_143_related,0,,,5.853,5.385,5.568,experiment,related,143,Nat,6.707,11,119,het fietsje,0.183,0.854,0.285,nan,99,1611.808747,experiment,98,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_340_control,0,salade,pompoen,3.964,3.096,3.307,experiment,control,340,nonNat,6.734,55,155,,0.211,2.77,0.657,nan,100,1623.343247,experiment,99,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_310_control,0,attractiepark,Efteling,5.395,4.402,4.654,experiment,control,310,Nat,5.408,55,155,,0.252,0.013,0.741,nan,101,1633.554633,experiment,100,-99,-99,-99000
fs,10,01M32,30,yes,,de kinderwagen,nonNat_134_related,0,,,3.699,2.85,3.033,experiment,related,134,nonNat,4.633,21,219,het zonnetje,0.183,0.934,0.666,nan,102,1642.983006,experiment,101,-99,-99,-99000
fs,10,01M32,30,yes,,de pot,nonNat_122_unrelated,0,,,4.607,3.858,4.055,experiment,unrelated,122,nonNat,5.832,22,229,het toilet,0.197,1.225,0.552,nan,103,1653.602419,experiment,102,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_312_control,0,landen,vakantie,2.688,2.182,2.31,experiment,control,312,Nat,5.376,55,155,,0.128,2.688,0.378,nan,104,1663.764809,experiment,103,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_355_control,0,zoon,buitenland,2.699,2.227,2.444,experiment,control,355,nonNat,4.376,55,155,,0.217,1.677,0.255,nan,105,1672.932163,experiment,104,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_326_control,0,koeien,gras,1.987,1.606,1.684,experiment,control,326,Nat,7.568,55,155,,0.078,5.581,0.303,nan,106,1685.292688,experiment,105,-99,-99,-99000
fs,10,01M32,30,yes,,,nonNat_350_control,0,oma's,kinderen,2.93,2.267,2.367,experiment,control,350,nonNat,5.407,55,155,,0.1,2.477,0.563,nan,107,1695.48908,experiment,106,-99,-99,-99000
fs,10,01M32,30,yes,,,Nat_315_control,0,ruimtemissies,jaar,2.069,1.344,1.479,experiment,control,315,Nat,6.144,55,155,,0.135,4.075,0.59,nan,108,1706.431494,experiment,107,-99,-99,-99000
fs,10,01M32,30,yes,Gaat de zin over een onbekend liedje?,de radio,Nat_158_unrelated,1,,,2.234,1.831,1.945,experiment,unrelated,158,Nat,3.001,12,129,het nieuws,0.114,0.767,0.289,0,109,1717.623076,experiment,108,z,1,3376.168514
fs,10,01M32,30,yes,Heeft de spreker een kerstboom met Kerst?,de cadeautjes,nonNat_9_related,1,,,3.179,2.509,2.671,experiment,related,9,nonNat,4.278,21,219,het pakje,0.162,1.099,0.508,1,110,1729.926861,experiment,109,slash,1,3205.238834
fs,10,01M32,30,yes,,,Nat_306_control,0,kast,nachtkastje,0.44,0.016,0.183,experiment,control,306,Nat,5.032,55,155,,0.167,4.592,0.257,nan,111,1739.7488,experiment,110,-99,-99,-99000
fs,10,01M32,30,yes,Was de portemonnee van Martijn gestolen?,de politie,nonNat_42_unrelated,1,,,5.087,3.965,4.214,experiment,unrelated,42,nonNat,6.219,22,229,het politiebureau,0.249,1.132,0.873,1,112,1753.694195,experiment,111,slash,1,2909.891118
fs,10,01M32,30,yes,Waren de bejaarden genteresseerd in schilderijen van Monet?,het museum,Nat_140_unrelated,1,,,4.276,3.663,3.794,experiment,unrelated,140,Nat,5.433,12,129,de broodwinkel,0.131,1.157,0.482,0,113,1767.5903,experiment,112,slash,0,3647.922038
