time	ROI central	ROI central_smaller	
124.0234	0.4764	0.4819	Non-native Unexpected
125	0.4798	0.4851	Non-native Unexpected
125.9766	0.4832	0.4884	Non-native Unexpected
126.9531	0.4866	0.4916	Non-native Unexpected
127.9297	0.4901	0.4948	Non-native Unexpected
128.9062	0.4936	0.4981	Non-native Unexpected
129.8828	0.4973	0.5013	Non-native Unexpected
130.8594	0.5009	0.5045	Non-native Unexpected
131.8359	0.5046	0.5078	Non-native Unexpected
132.8125	0.5084	0.511	Non-native Unexpected
133.7891	0.5123	0.5143	Non-native Unexpected
134.7656	0.5162	0.5176	Non-native Unexpected
135.7422	0.5201	0.5209	Non-native Unexpected
136.7188	0.5241	0.5242	Non-native Unexpected
137.6953	0.5282	0.5274	Non-native Unexpected
138.6719	0.5323	0.5307	Non-native Unexpected
139.6484	0.5364	0.534	Non-native Unexpected
140.625	0.5405	0.5373	Non-native Unexpected
141.6016	0.5447	0.5406	Non-native Unexpected
142.5781	0.5489	0.5438	Non-native Unexpected
143.5547	0.553	0.547	Non-native Unexpected
144.5312	0.5572	0.5502	Non-native Unexpected
145.5078	0.5614	0.5534	Non-native Unexpected
146.4844	0.5655	0.5565	Non-native Unexpected
147.4609	0.5695	0.5596	Non-native Unexpected
148.4375	0.5736	0.5627	Non-native Unexpected
149.4141	0.5775	0.5657	Non-native Unexpected
150.3906	0.5814	0.5686	Non-native Unexpected
151.3672	0.5853	0.5714	Non-native Unexpected
152.3438	0.589	0.5742	Non-native Unexpected
153.3203	0.5926	0.5769	Non-native Unexpected
154.2969	0.5962	0.5796	Non-native Unexpected
155.2734	0.5996	0.5821	Non-native Unexpected
156.25	0.6028	0.5846	Non-native Unexpected
157.2266	0.606	0.5869	Non-native Unexpected
158.2031	0.6089	0.5892	Non-native Unexpected
159.1797	0.6118	0.5913	Non-native Unexpected
160.1562	0.6145	0.5933	Non-native Unexpected
161.1328	0.617	0.5953	Non-native Unexpected
162.1094	0.6193	0.5971	Non-native Unexpected
163.0859	0.6215	0.5988	Non-native Unexpected
164.0625	0.6234	0.6003	Non-native Unexpected
165.0391	0.6252	0.6018	Non-native Unexpected
166.0156	0.6268	0.6031	Non-native Unexpected
166.9922	0.6282	0.6043	Non-native Unexpected
167.9688	0.6294	0.6054	Non-native Unexpected
168.9453	0.6304	0.6064	Non-native Unexpected
169.9219	0.6312	0.6072	Non-native Unexpected
170.8984	0.6318	0.6079	Non-native Unexpected
171.875	0.6322	0.6085	Non-native Unexpected
172.8516	0.6324	0.6089	Non-native Unexpected
173.8281	0.6324	0.6093	Non-native Unexpected
174.8047	0.6322	0.6095	Non-native Unexpected
175.7812	0.6318	0.6096	Non-native Unexpected
176.7578	0.6312	0.6096	Non-native Unexpected
177.7344	0.6304	0.6094	Non-native Unexpected
178.7109	0.6295	0.6092	Non-native Unexpected
179.6875	0.6283	0.6088	Non-native Unexpected
180.6641	0.627	0.6083	Non-native Unexpected
181.6406	0.6256	0.6077	Non-native Unexpected
182.6172	0.6239	0.607	Non-native Unexpected
183.5938	0.6221	0.6062	Non-native Unexpected
184.5703	0.6202	0.6053	Non-native Unexpected
185.5469	0.6181	0.6043	Non-native Unexpected
186.5234	0.6158	0.6032	Non-native Unexpected
187.5	0.6135	0.602	Non-native Unexpected
188.4766	0.6109	0.6006	Non-native Unexpected
189.4531	0.6083	0.5992	Non-native Unexpected
190.4297	0.6055	0.5977	Non-native Unexpected
191.4062	0.6027	0.596	Non-native Unexpected
192.3828	0.5997	0.5943	Non-native Unexpected
193.3594	0.5966	0.5925	Non-native Unexpected
194.3359	0.5934	0.5905	Non-native Unexpected
195.3125	0.5901	0.5885	Non-native Unexpected
196.2891	0.5867	0.5864	Non-native Unexpected
197.2656	0.5832	0.5841	Non-native Unexpected
198.2422	0.5797	0.5817	Non-native Unexpected
199.2188	0.576	0.5793	Non-native Unexpected
200.1953	0.5723	0.5767	Non-native Unexpected
201.1719	0.5685	0.574	Non-native Unexpected
202.1484	0.5646	0.5712	Non-native Unexpected
203.125	0.5607	0.5682	Non-native Unexpected
204.1016	0.5567	0.5652	Non-native Unexpected
205.0781	0.5526	0.562	Non-native Unexpected
206.0547	0.5484	0.5586	Non-native Unexpected
207.0312	0.5442	0.5552	Non-native Unexpected
208.0078	0.5399	0.5516	Non-native Unexpected
208.9844	0.5355	0.5478	Non-native Unexpected
209.9609	0.5311	0.5439	Non-native Unexpected
210.9375	0.5266	0.5399	Non-native Unexpected
211.9141	0.522	0.5357	Non-native Unexpected
212.8906	0.5173	0.5313	Non-native Unexpected
213.8672	0.5126	0.5268	Non-native Unexpected
214.8438	0.5078	0.5222	Non-native Unexpected
