       value	     chindex	     chlabel	        bini	     ERPset
      -2.682	          56	         CP2	           3	12_withDiff
      -2.896	           4	          F1	           4	12_withDiff
      -3.596	          11	         FC1	           4	12_withDiff
      -2.700	          12	          C1	           4	12_withDiff
      -1.202	          19	         CP1	           4	12_withDiff
      -0.812	          32	         CPz	           4	12_withDiff
      -2.548	          38	          Fz	           4	12_withDiff
      -2.513	          39	          F2	           4	12_withDiff
      -2.451	          46	         FC2	           4	12_withDiff
      -2.990	          47	         FCz	           4	12_withDiff
      -1.654	          48	          Cz	           4	12_withDiff
      -1.188	          49	          C2	           4	12_withDiff
      -1.110	          56	         CP2	           4	12_withDiff
      -2.279	           4	          F1	           5	12_withDiff
      -2.322	          11	         FC1	           5	12_withDiff
      -1.247	          12	          C1	           5	12_withDiff
      -0.260	          19	         CP1	           5	12_withDiff
      -0.539	          32	         CPz	           5	12_withDiff
      -2.393	          38	          Fz	           5	12_withDiff
      -2.953	          39	          F2	           5	12_withDiff
      -2.764	          46	         FC2	           5	12_withDiff
      -2.363	          47	         FCz	           5	12_withDiff
      -0.763	          48	          Cz	           5	12_withDiff
      -1.343	          49	          C2	           5	12_withDiff
      -0.870	          56	         CP2	           5	12_withDiff
      -3.715	           4	          F1	           1	13_withDiff
      -2.859	          11	         FC1	           1	13_withDiff
      -1.718	          12	          C1	           1	13_withDiff
       0.086	          19	         CP1	           1	13_withDiff
       0.853	          32	         CPz	           1	13_withDiff
      -2.015	          38	          Fz	           1	13_withDiff
      -1.633	          39	          F2	           1	13_withDiff
      -2.113	          46	         FC2	           1	13_withDiff
      -2.548	          47	         FCz	           1	13_withDiff
      -0.871	          48	          Cz	           1	13_withDiff
      -2.119	          49	          C2	           1	13_withDiff
      -0.456	          56	         CP2	           1	13_withDiff
      -0.051	           4	          F1	           2	13_withDiff
      -0.692	          11	         FC1	           2	13_withDiff
      -1.991	          12	          C1	           2	13_withDiff
      -1.038	          19	         CP1	           2	13_withDiff
      -2.014	          32	         CPz	           2	13_withDiff
       1.445	          38	          Fz	           2	13_withDiff
       2.377	          39	          F2	           2	13_withDiff
      -1.598	          46	         FC2	           2	13_withDiff
      -0.177	          47	         FCz	           2	13_withDiff
      -1.656	          48	          Cz	           2	13_withDiff
      -1.722	          49	          C2	           2	13_withDiff
      -1.814	          56	         CP2	           2	13_withDiff
      -2.577	           4	          F1	           3	13_withDiff
      -1.529	          11	         FC1	           3	13_withDiff
      -1.473	          12	          C1	           3	13_withDiff
      -1.264	          19	         CP1	           3	13_withDiff
      -0.300	          32	         CPz	           3	13_withDiff
      -1.755	          38	          Fz	           3	13_withDiff
       0.873	          39	          F2	           3	13_withDiff
      -0.466	          46	         FC2	           3	13_withDiff
      -1.200	          47	         FCz	           3	13_withDiff
      -0.877	          48	          Cz	           3	13_withDiff
      -1.059	          49	          C2	           3	13_withDiff
      -0.286	          56	         CP2	           3	13_withDiff
      -0.661	           4	          F1	           4	13_withDiff
      -1.371	          11	         FC1	           4	13_withDiff
      -0.646	          12	          C1	           4	13_withDiff
       0.670	          19	         CP1	           4	13_withDiff
